Comprehensive Master Database of 500+ Indian Government Schemes,,,,,,,,
"Extensive multi-state and central registry tracking eligibility parameters, income brackets, required documentation, and application prerequisites.",,,,,,,,
,,,,,,,,
Scheme Name,"Scheme Type
(Central/State)",State / UT Name,Eligible Gender,Eligible Age Group,Eligible Income / Salary Range,Eligible Occupation / Category,Required Application Documents,Essential / Critical Prerequisites
Pradhan Mantri Awas Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Awas Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Awas Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Awas Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
Babu Jagjivan Ram Awas Subvention,Central,All India,All,Students,Family Income ≤ ₹2.5 Lakhs/annum,Scheduled Caste / Scheduled Tribe Candidates,"Caste Certificate, Income Certificate, Academic records",Must be enrolled in a recognized government institution
Pradhan Mantri Awas Bima Suraksha,Central,All India,All,18-70 years,No explicit income threshold,All Bank Account holders across public sectors,"Aadhaar, Bank Account numbers, Nominee declarations",Requires execution of automatic premium debit mandate form
Pradhan Mantri Kisan Samman Yojana,Central,All India,All,Varies,Income-based constraints,Target Demographic Group,Standard Identity & Income Documentation,Must not be an active corporate taxpayer or institutional member
National Kisan Samman Mission,Central,All India,All,All Ages,Low to Middle Income Brackets,Rural & Urban Underprivileged Classes,"Aadhaar Card, Residence proof, Bank details",Direct validation via local ULB/Panchayat registries
PM Kisan Samman Assistance Scheme,Central,All India,All,18-60 years,Below Poverty Line / Marginal,Unorganized Sector Manual Workers,"Aadhaar, Bank Passbook, Self-Declaration",Active integration with e-Shram Portal is mandatory
Deendayal Kisan Samman Welfare Programme,Central,All India,All,Youth / Adults,Varies per sector tier,"Artisans, Weavers & Micro Enterprise Owners","Udyam Registration, Aadhaar, PAN, Bank Details",Requires verified operational craft certificate
